score,tweet,
0.5859,Wow midterms are already in a couple of weeks🙄,
0.4092,"I’m overwhelmed, our to do lists are never ending.. and I have 3 midterms this week I haven’t had time to prepare for yet. This week is going to be SO stressful but this time next week I will be married and relaxing on our honeymoon and I cannot wait. ❤️",
0.7345,It's time for midterms so let us be the first to say it: Good luck! ,
0.1027,i know damn well i get cold easily and start getting jittery with coffee but i still drink it to get thru midterms even when im shaking like that chihuahua in Phineas and Ferb in the library like an idiot,
-0.5,"OT school ain’t no joke AT ALL. We’re not even near midterms yet &amp; I’m practically dying....so much hard material, so little time. I ain’t cry yet tho 🤕",
0.0,Finally get to take a breath after these midterms 🤗,
0.296,pretty sure i failed midterms today,
0.0,Get you a man that gives you snacks on a bowl without asking while you are studying for midterms and finals,
0.0,OMG MIDTERMS OVERRR WE GETTING FFXIV,
0.3612,"When I said I was ready for spooky season I didn’t mean midterms, mental breakdowns, and papersReturn to sender",
-0.5994,MIDTERMS ARE DONE BITCHES ,
0.0,i just realized i’m three weeks behind on all my class readings and my midterms start in two weeks 🤡,
0.0,4 midterms this week? DisGgGustTtingGgg!!!!,
-0.4976,Midterms always make me nervous because that’s marking that the semester is almost over. Stressed 🥴,
0.0,*Group project due tomorrow*Person who has not contributed: “well I have 3 exams tomorrow so I can’t”  It’s midterms week. *twitches* we. all. have. exams.,
-0.3071,Grading the midterms for my philosophy class and at the I ask an ‘essay’ question: “Describe something you’ve learned in this class that you did not previously know. Briefly indicate why this stuck out and how it has been helpful.” Something to that effect.,
0.0,Midterms coming and the only class I got a A Ik is math,
0.8018,"I've been away from Twitter for a few years, but I want to share this little piece that I wrote right after the midterms.A rather insightful moment, if I do say so myself.I'd be interested in any feedback Pro or con. ",
0.128,I had 2 midterms today back to back and my hand has PTSD from all that damn writing.,
0.5106,Survived the dayyyy hello midterms,
0.0,bear down for midterms.,
-0.5719,no offence but getting straight A’s for midterms and finals would actually suck ALHAMDULILLAH IT WORKSSSS ,
-0.5848,Time to fail all my midterms!😳,
-0.6956,ok I just wanted to stop by and look at my babies but college is still kicking my ass and I have midterms next week,
0.4404,Mario Kart or Midterms? good question 😭,
0.0,"i need to write two essays and study for two midterms this weekend, so of course i sleep until 1030",
0.0,I forgot I have 2 midterms tomorrow,
0.0,I’d take some assignments over the 4 midterms I have Any assignments due during homecoming:,
0.0,It’s only midterms and I am GOING THROUGH IT. ,
0.6597,Should I take these midterms high? Yes or yes,
0.6028,"My midterms are finished for now, I’m going out this entire weekend, and HS2 is here my life is SO good rn",
0.34,midterms are next week and idk what to do lol,
0.0,I ALREADY HAVE MIDTERMS AND IM LETTING WHITE CLAWS GET IN THE WAY OF MY STUDYING,
0.7351,Alabama state having a Midnight Yell I’m guessing in honor of midterms and I think that’s such a clever idea,
-0.0169,The great show is stressing me out so much I spent my entire family lunch staring off into space trying to figure out if it really is anti abortion or not and my mom said I looked really worried and told me not to worry too much about my 2 midterms tomorrow fbdjdhhssh,
0.0,Midterms is already next week. This is flying by fast...,
